				
Time	keytime	target	cy	hy
1038.971	48.45454	3	61.45123	74.7467
1038.999	48.46453	3	61.45123	74.35715
1039.041	48.49183	3	61.45123	74.92094
1039.069	48.51881	3	61.45123	76.22263
1039.108	48.52881	3	61.45123	76.53497
1039.134	48.53881	3	61.45123	76.73413
1039.16	48.54881	3	61.45123	77.08496
1039.202	48.57619	3	61.45123	78.66141
1042.239	48.59039	-3	2.014908	4.11142
1042.259	48.60039	-3	2.09603	4.11261
1042.295	48.6145	-3	2.072716	4.206578
1042.33	48.6245	-3	1.908034	3.928113
1042.365	48.64994	-3	1.424029	3.482095
1042.398	48.66697	-3	1.165748	3.215606
1042.433	48.67697	-3	0.7966652	2.801988
1042.465	48.68697	-3	0.5821892	2.582597
1042.504	48.69697	-3	0.3629834	2.339123
1042.534	48.71449	-3	0.3166818	2.042088
1042.565	48.72844	-3	0.2969492	1.991773
1042.599	48.73844	-3	0.34271	2.159368
1042.631	48.74844	-3	0.4776279	2.374491
1042.666	48.75844	-3	0.5643372	2.468503
1042.697	48.76844	-3	0.6687195	2.443509
1042.732	48.77843	-3	0.6090603	2.484813
1042.766	48.78843	-3	0.4931419	2.298557
1042.795	48.79843	-3	0.3168926	2.030486
1042.832	48.80843	-3	-0.1402893	1.530183
1042.863	48.81843	-3	-0.9172363	0.7509047
1042.899	48.82843	-3	-2.057129	-0.4043274
1042.934	48.85193	-3	-3.872314	-2.163086
1042.971	48.86193	-3	-5.222321	-3.440552
1042.999	48.87193	-3	-6.747528	-4.980774
1043.038	48.8974	-3	-10.4585	-8.908691
1043.078	48.90739	-3	-12.48709	-10.7897
1043.104	48.91739	-3	-14.69791	-12.92801
1043.132	48.92739	-3	-17.82468	-15.88657
1043.162	48.93739	-3	-21.97293	-20.07953
1043.208	48.94739	-3	-25.423	-23.50565
1043.238	48.95739	-3	-28.04138	-26.28848
1043.265	48.96738	-3	-31.61496	-30.04041
1043.292	48.97738	-3	-34.32672	-32.77896
1043.33	49.00401	-3	-40.38312	-38.47736
1043.371	49.01401	-3	-43.10785	-41.25415
1043.398	49.02401	-3	-46.77081	-44.92078
1043.44	49.05248	-3	-51.7951	-50.10385
1043.464	49.07813	-3	-54.79062	-53.10461
1043.504	49.08812	-3	-56.05774	-54.40961
1043.532	49.09812	-3	-58.31808	-56.81625
1043.561	49.10812	-3	-60.23779	-58.44238
1043.597	49.1338	-3	-63.61337	-61.72046
1043.64	49.1438	-3	-64.57648	-62.85883
1043.665	49.1538	-3	-65.41287	-64.62793
1043.693	49.1638	-3	-66.16098	-64.74878
1043.73	49.19081	-3	-67.81482	-66.2865
1043.773	49.20081	-3	-68.65482	-66.96069
1043.8	49.21081	-3	-69.41547	-67.61664
1043.838	49.23726	-3	-70.72507	-69.19611
1043.864	49.26472	-3	-71.83002	-71.12744
1043.907	49.27472	-3	-72.69412	-71.9837
1043.934	49.28472	-3	-73.58646	-72.76294
1043.96	49.29472	-3	-74.37909	-73.51068
1043.997	49.32166	-3	-75.8783	-74.60046
1044.042	49.33166	-3	-76.68146	-75.38818
1044.067	49.34166	-3	-77.00201	-75.96338
1044.094	49.35165	-3	-77.35858	-76.60492
1044.132	49.37815	-3	-77.70602	-76.54605
1047.191	49.38815	2	-0.9127197	0.8261006
1047.237	49.40503	2	-0.9729919	0.6458308
