Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
108.263	9.85233	3	120	0	0	-0.5000001	-0.8660254	-0.0383697	0.008737952	-0.02024484	
108.274	9.86	3	120	0	0	-0.5000001	-0.8660254	-0.04015241	0.008780621	-0.02145011	
108.280	9.870257	3	120	0	0	-0.5000001	-0.8660254	-0.0422173	0.0088281	-0.02301059	
108.292	9.878142	3	120	0	0	-0.5000001	-0.8660254	-0.04404406	0.008883	-0.0244231	
108.298	9.888089	3	120	0	0	-0.5000001	-0.8660254	-0.04607638	0.00895314	-0.02622098	
108.309	9.895536	3	120	0	0	-0.5000001	-0.8660254	-0.04780412	0.009032233	-0.02782022	
108.314	9.904305	3	120	0	0	-0.5000001	-0.8660254	-0.04924824	0.009091053	-0.02935576	
108.324	9.910397	3	120	0	0	-0.5000001	-0.8660254	-0.05097409	0.00919003	-0.03114326	
108.331	9.921113	3	120	0	0	-0.5000001	-0.8660254	-0.05284611	0.00929463	-0.03333613	
108.342	9.928604	3	120	0	0	-0.5000001	-0.8660254	-0.05430012	0.009354194	-0.03512566	
