Time	keytime	target	cy	hy	
20.293	14.04072	0	-2.868988	28.49079	
20.316	14.0638	0	-2.711914	28.49079	
20.336	14.08312	0	-2.571716	28.49079	
20.356	14.10367	0	-2.502167	28.49079	
20.386	14.13372	0	-2.521118	28.49079	
20.408	14.15542	0	-2.407776	28.49079	
20.428	14.17547	0	-2.178284	28.49079	
20.450	14.19726	0	-2.067474	28.49079	
20.466	14.21359	0	-2.073914	28.49079	
20.476	14.22383	0	-1.794342	28.49079	
20.499	14.24551	0	-1.654907	28.49079	
20.518	14.26524	0	-1.227478	28.49079	
20.550	14.29695	0	-1.035522	28.49079	
20.569	14.31601	0	-0.7086182	28.49079	
20.588	14.33539	0	-0.6806946	28.49079	
20.608	14.35578	0	-0.6254578	28.49079	
20.630	14.37707	0	-0.5826111	28.49079	
20.650	14.3973	0	-0.5784302	28.49079	
20.669	14.41658	0	-0.5888672	28.49079	
20.711	14.45828	0	-0.5300598	28.49079	
